Grad,Deo_Grada,Ulica,Cena_EUR,Kvadratura_m2,Cena_po_m2,Naslov,Link,Lokacija_Osnovna
Beograd,Slavujev venac,Toplička,114900,62.0,1853.23,"Slavujev venac, Toplička, 62m2, duplex, PR+1,renoviran",https://www.nekretnine.rs/stambeni-objekti/stanovi/slavujev-venac-toplicka-62m2-duplex-pr1-renoviran/NkwQXT2pfXk/,"Slavujev venac, Beograd, Srbija"
Niš,Centar,N/A,250000,133.5,1872.66,Ekskluzivan dupleks u novogradnji u centru,https://www.nekretnine.rs/stambeni-objekti/stanovi/ekskluzivan-dupleks-u-novogradnji-u-centru/NkcQmTcMHdZ/,"Centar, Niš, Srbija"
Niš,Vrežina,N/A,86240,49.28,1750.0,Dvoiposoban stan – povraćaj PDV-a – direktna prodaja,https://www.nekretnine.rs/stambeni-objekti/stanovi/dvoiposoban-stan---povracaj-pdv-a---direktna-prodaja/Nk7CwYABYP-/,"Vrežina, Niš, Srbija"
Niš,Durlan,N/A,75000,32.4,2314.81,Novogradnja - povraćaj PDV-a - jun 2026,https://www.nekretnine.rs/stambeni-objekti/stanovi/novogradnja-povracaj-pdv-a-jun-2026/Nk4tJ2b3S-l/,"Durlan, Niš, Srbija"
Niš,Čalije,N/A,116500,57.0,2043.86,"Opremljen, trosoban stan u novoj zgradi",https://www.nekretnine.rs/stambeni-objekti/stanovi/opremljen-trosoban-stan-u-novoj-zgradi/NkRMvu4v62a/,"Čalije, Niš, Srbija"
Niš,Vrežina,N/A,53980,29.2,1848.63,Jednoiposoban stan – povraćaj PDV-a – direktna prodaja,https://www.nekretnine.rs/stambeni-objekti/stanovi/jednoiposoban-stan---povracaj-pdv-a---direktna-prodaja/NkihODJteyj/,"Vrežina, Niš, Srbija"
Niš,Vrežina,N/A,114870,64.0,1794.84,"Novogradnja – direktna prodaja, povraćaj PDV-a",https://www.nekretnine.rs/stambeni-objekti/stanovi/novogradnja---direktna-prodaja-povracaj-pdv-a/NkUGDHQdVGC/,"Vrežina, Niš, Srbija"
Niš,Vrežina,N/A,76530,42.5,1800.71,"Novogradnja – direktna prodaja, povraćaj PDV-a",https://www.nekretnine.rs/stambeni-objekti/stanovi/novogradnja---direktna-prodaja-povracaj-pdv-a/Nku9q9843ek/,"Vrežina, Niš, Srbija"
Niš,Bulevar Nemanjića,N/A,179000,71.0,2521.13,"Opremljen, trosoban stan u novoj zgradi na Bulevaru",https://www.nekretnine.rs/stambeni-objekti/stanovi/opremljen-trosoban-stan-u-novoj-zgradi-na-bulevaru/NkkaPtX8nzK/,"Bulevar Nemanjića, Niš, Srbija"
Niš,Durlan,N/A,103950,47.25,2200.0,Novogradnja kod TC Roda - Jednoiposoban stan – direktna prodaja,https://www.nekretnine.rs/stambeni-objekti/stanovi/novogradnja-kod-tc-roda-jednoiposoban-stan---direktna-prodaja/NkHXlX5scg1/,"Durlan, Niš, Srbija"
Beograd,Zvezdara,Ruđera Boškovića,208000,64.0,3250.0,"Zvezdara, Kluz, Ruđera Boškovića, 3.0, 64m2, 208000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/zvezdara-kluz-rudera-boskovica-30-64m2-208000eur/NkUE8Frl6eb/,"Zvezdara, Beograd, Srbija"
Niš,Duvanište,Majakovskog,95000,69.0,1376.81,Prodaja stanova u etažiranoj kući,https://www.nekretnine.rs/stambeni-objekti/stanovi/prodaja-stanova-u-etaziranoj-kuci/NkCx29FGYQe/,"Duvanište, Niš, Srbija"
Beograd,Mirijevo III,N/A,235000,103.0,2281.55,"Zvezdara, Mirijevo 3, , 4.0, 103m2, 235000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/zvezdara-mirijevo-3-40-103m2-235000eur/Nk2aiaFlMvz/,"Mirijevo III, Beograd, Srbija"
Zlatibor,Đurkovac,Andrije Jevremovica 257,47000,35.0,1342.86,Odlična garsonjera na Zlatiboru,https://www.nekretnine.rs/stambeni-objekti/stanovi/odlicna-garsonjera-na-zlatiboru/Nku6LXQmlk4/,"Đurkovac, Zlatibor, Srbija"
Zlatibor,Golija,Andrije Jevremovica,78200,46.0,1700.0,Lux novogradnja Zlatibor,https://www.nekretnine.rs/stambeni-objekti/stanovi/lux-novogradnja-zlatibor/NkFa70SBJbY/,"Golija, Zlatibor, Srbija"
Zlatibor,Golija,Andrije Jevremovica,55800,31.0,1800.0,Lux novogradnja Prestige forest resort,https://www.nekretnine.rs/stambeni-objekti/stanovi/lux-novogradnja-prestige-forest-resort/NkwufD5ptYy/,"Golija, Zlatibor, Srbija"
Beograd,Mirijevo I,Aleksandra Bugarskog,93000,42.0,2214.29,"Zvezdara, Mirijevo, Aleksandra Bugarskog, 1.5, 42m2, 93000 EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/zvezdara-mirijevo-aleksandra-bugarskog-15-42m2-93000-eur/NkgHTMvtHYj/,"Mirijevo I, Beograd, Srbija"
Beograd,Mirijevo I,Aleksandra Bugarskog,71000,29.0,2448.28,"Zvezdara, Mirijevo, Aleksandra Bugarskog, 0.5, 29m2, 71000 EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/zvezdara-mirijevo-aleksandra-bugarskog-05-29m2-71000-eur/NkXtK9NIlum/,"Mirijevo I, Beograd, Srbija"
Beograd,Kanarevo brdo,Petra Konjovića,230000,115.0,2000.0,"Kanarevo brdo, 3.0, komforan, prelep pogled ID#10000",https://www.nekretnine.rs/stambeni-objekti/stanovi/kanarevo-brdo-30-komforan-prelep-pogled-id10000/Nkt5pU-NTIL/,"Kanarevo brdo, Beograd, Srbija"
Beograd,Južni bulevar,Južni Bulevar,459900,99.0,4645.45,"Vračar, nov, moderan, 3.0 stan, opremljen ID#10303",https://www.nekretnine.rs/stambeni-objekti/stanovi/vracar-nov-moderan-30-stan-opremljen-id10303/NkgrVJ1dzxL/,"Južni bulevar, Beograd, Srbija"
Beograd,Beograd na vodi,Hercegovačka,465000,90.0,5166.67,"BW Magnolia, nov, moderan, 3.0 stan ID#10360",https://www.nekretnine.rs/stambeni-objekti/stanovi/bw-magnolia-nov-moderan-30-stan-id10360/NkwMdvt4Vpj/,"Beograd na vodi, Beograd, Srbija"
Beograd,Terazije ( centar ),Čumićeva,369900,90.0,4110.0,"Terazije, Čumićeva, tri luksuzna apartmana ID#8487",https://www.nekretnine.rs/stambeni-objekti/stanovi/terazije-cumiceva-tri-luksuzna-apartmana-id8487/NkQXPK9_aid/,"Terazije ( centar ), Beograd, Srbija"
Beograd,Novi Beograd Blok 62,Jurija Gagarina,220000,88.0,2500.0,"Blok 62, Jurija Gagarina, 3.0, adaptibilan ID#10154",https://www.nekretnine.rs/stambeni-objekti/stanovi/blok-62-jurija-gagarina-30-adaptibilan-id10154/NkzIKvOo_GK/,"Novi Beograd Blok 62, Beograd, Srbija"
Beograd,Novi Beograd Blok 65,Omladinskih brigada,410000,83.0,4939.76,"West 65, nov, atraktivan 3.0 stan ID#10083",https://www.nekretnine.rs/stambeni-objekti/stanovi/west-65-nov-atraktivan-30-stan-id10083/NkWURTCBo-D/,"Novi Beograd Blok 65, Beograd, Srbija"
Beograd,Novi Beograd Blok 65,Omladinskih brigada,369900,80.0,4623.75,"West 65, nov, lux 3.0, garažno mesto, useljiv ID#10296",https://www.nekretnine.rs/stambeni-objekti/stanovi/west-65-nov-lux-30-garazno-mesto-useljiv-id10296/Nky44mAJz4P/,"Novi Beograd Blok 65, Beograd, Srbija"
Beograd,Zemun (Save Kovačevića),Prvomajska,205000,78.0,2628.21,"Zemun, Prvomajska, lamela, 3.0, retko u ponudi ID#10370",https://www.nekretnine.rs/stambeni-objekti/stanovi/zemun-prvomajska-lamela-30-retko-u-ponudi-id10370/NkNjkGTEIPY/,"Zemun (Save Kovačevića), Beograd, Srbija"
Beograd,Autokomanda,Admirala Geprata,290000,76.5,3790.85,"Savski venac, Admirala Geprata, 3.0, parking mesto ID#10345",https://www.nekretnine.rs/stambeni-objekti/stanovi/savski-venac-admirala-geprata-30-parking-mesto-id10345/Nkc6hdXq7WS/,"Autokomanda, Beograd, Srbija"
Beograd,Zemun (Save Kovačevića),Dragana Rakića,210900,74.0,2850.0,"Zemun, Save Kovačevića, nov, trosoban, u izgradnji ID#10255",https://www.nekretnine.rs/stambeni-objekti/stanovi/zemun-save-kovacevica-nov-trosoban-u-izgradnji-id10255/NkF-UfKYRqH/,"Zemun (Save Kovačevića), Beograd, Srbija"
Stara Pazova,Novi Banovci,Milenka Pevca,110000,71.0,1549.3,"Novi Banovci, Milenka Pevca, 3.0, nov, parking ID#9935",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-banovci-milenka-pevca-30-nov-parking-id9935/NkrAmAyFPC1/,"Novi Banovci, Stara Pazova, Srbija"
Beograd,Šumice,Ustanicka,388000,162.0,2395.06,"Sumice,novogradnja lux penthouse, dupleks 5+ stan 162m2",https://www.nekretnine.rs/stambeni-objekti/stanovi/sumice-novogradnja-lux-penthouse-dupleks-5-stan-162m2/NkhJDgLAw2V/,"Šumice, Beograd, Srbija"
Beograd,Šumice,Ustanicka,352000,142.0,2478.87,"Sumice,lux penthouse,,novogradnja dupleks 5,0 stan 142m2",https://www.nekretnine.rs/stambeni-objekti/stanovi/sumice-lux-penthouse-novogradnja-dupleks-5-0-stan-142m2/NkGdKOnbR5T/,"Šumice, Beograd, Srbija"
Zlatibor,Obudojevica,Bele vode,60000,40.0,1500.0,"Zlatibor,Bele vode,lep dvosoban stan 40m2",https://www.nekretnine.rs/stambeni-objekti/stanovi/zlatibor-bele-vode-lep-dvosoban-stan-40m2/Nkvr4nXB77B/,"Obudojevica, Zlatibor, Srbija"
Beograd,Crveni krst,Vojislava Ilica,173000,48.0,3604.17,"Crveni krst,Vojislava Ilica, lep 2,0 stan od 48m2",https://www.nekretnine.rs/stambeni-objekti/stanovi/crveni-krst-vojislava-ilica-lep-2-0-stan-od-48m2/NkwFjdL6bWo/,"Crveni krst, Beograd, Srbija"
Novi Sad,Centar,Vojvođanskih brigada,295000,115.0,2565.22,"Novi Sad, ul.Vojvođanskih brigada, 115m2, duplex, 295.000 Eura",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-ulvojvodanskih-brigada-115m2-duplex-295000-eura/NkZiGwAKBaP/,"Centar, Novi Sad, Srbija"
Beograd,Gradska bolnica,Čegarska,317214,99.44,3190.0,"Gradska bolnica, povrat PDVa ID#10663",https://www.nekretnine.rs/stambeni-objekti/stanovi/gradska-bolnica-povrat-pdva-id10663/NkYl2BEiDOO/,"Gradska bolnica, Beograd, Srbija"
Beograd,Voždovac,Vojvode Stepe,295000,110.0,2681.82,"Vojvode Stepe, 110m2 ID#10407",https://www.nekretnine.rs/stambeni-objekti/stanovi/vojvode-stepe-110m2-id10407/NkLcmJ0YbH9/,"Voždovac, Beograd, Srbija"
Beograd,Ovča,Ovčanski put,74903,38.0,1971.13,O-distrikt novo mesto za život ID#13901,https://www.nekretnine.rs/stambeni-objekti/stanovi/o-distrikt-novo-mesto-za-zivot-id13901/NkrdxYBkmEj/,"Ovča, Beograd, Srbija"
