Grad,Deo_Grada,Ulica,Cena_EUR,Kvadratura_m2,Cena_po_m2,Naslov,Link,Lokacija_Osnovna
Novi Sad,Novo Naselje,Stevana Dejanova,56000,27.0,2074.07,"Novi Sad, Novo Naselje, Stevana Dejanova, 1.0, 27m2, 56000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-novo-naselje-stevana-dejanova-10-27m2-56000eur/Nk1BesNuDiX/,"Novo Naselje, Novi Sad, Srbija"
Beograd,Banjica,Porodice Trajković,310000,86.0,3604.65,"Voždovac, Banjica, Porodice Trajković, 4.0, 86m2, 310000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/vozdovac-banjica-porodice-trajkovic-40-86m2-310000eur/Nk2liEfViYx/,"Banjica, Beograd, Srbija"
Beograd,Stari Grad,Mike Alasa,327000,83.0,3939.76,"Stari grad, Dorćol, Mike Alasa, 3.0, 83m2, 327000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/stari-grad-dorcol-mike-alasa-30-83m2-327000eur/NkbwtHHOsjo/,"Stari Grad, Beograd, Srbija"
Novi Sad,Telep,Ćirila i Metodija,130000,43.0,3023.26,"Novi Sad, Telep, Ćirila i Metodija, 1.5, 43m2, 130000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-telep-cirila-i-metodija-15-43m2-130000eur/Nk4RF-A_V2p/,"Telep, Novi Sad, Srbija"
Novi Sad,Bulevar,Novosadskog sajma,320000,108.0,2962.96,"Novi Sad, Bulevar Oslobođenja, Novosadskog sajma, 4.0, 108m2, 320000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-bulevar-oslobodenja-novosadskog-sajma-40-108m2-320000eur/NkLW6f65loB/,"Bulevar, Novi Sad, Srbija"
Beograd,Zemun Polje,Vlajka Đuranovića,105000,62.0,1693.55,"Zemun, Zemun polje, Vlajka Đuranovića, 3.0, 62m2, 105000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/zemun-zemun-polje-vlajka-duranovica-30-62m2-105000eur/Nkt_BgLsCVu/,"Zemun Polje, Beograd, Srbija"
Beograd,Novi Beograd Blok 45 (TC Enjub),Jurija Gagarina,188000,55.0,3418.18,"Novi Beograd, Blok 45, Jurija Gagarina, 2.0, 55m2, 188000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-beograd-blok-45-jurija-gagarina-20-55m2-188000eur/NkCRi_PSgVW/,"Novi Beograd Blok 45 (TC Enjub), Beograd, Srbija"
Beograd,Centar (uži),Primorska,192400,52.0,3700.0,"Palilula, Hadžipopovac, Primorska, 2.0, 52m2, 192400EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/palilula-hadzipopovac-primorska-20-52m2-192400eur/NkOg9Ay9y_4/,"Centar (uži), Beograd, Srbija"
Beograd,Centar (uži),Primorska,240500,65.0,3700.0,"Palilula, Hadžipopovac, Primorska, 2.0, 65m2, 240500EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/palilula-hadzipopovac-primorska-20-65m2-240500eur/NkEPJAi7Vkr/,"Centar (uži), Beograd, Srbija"
Novi Sad,Adice,N/A,61000,26.0,2346.15,"Novi Sad, Adice, , 1.0, 26m2, 61000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-adice-10-26m2-61000eur/Nk7UGWsvc0K/,"Adice, Novi Sad, Srbija"
Beograd,Stari Grad,Gospodar Jovanova,408000,119.0,3428.57,"Stari grad, Dorćol, Gospodar Jovanova, 5.0, 119m2, 408000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/stari-grad-dorcol-gospodar-jovanova-50-119m2-408000eur/NkZGwB-jLAu/,"Stari Grad, Beograd, Srbija"
Novi Sad,N/A,N/A,213840,81.0,2640.0,"Novi Sad, Sremska Kamenica, , 4.0, 81m2, 213840EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-sremska-kamenica-40-81m2-213840eur/Nkzd9zy-HYo/,"Novi Sad, Srbija"
Novi Sad,N/A,N/A,159500,58.0,2750.0,"Novi Sad, Sremska Kamenica, , 3.0, 58m2, 159500EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-sremska-kamenica-30-58m2-159500eur/Nk0fW2Dhx_W/,"Novi Sad, Srbija"
Beograd,Stari Grad,Takovska,347000,97.0,3577.32,"Stari grad, Skupština, Takovska, 3.5, 97m2, 347000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/stari-grad-skupstina-takovska-35-97m2-347000eur/Nkdzje3rzhl/,"Stari Grad, Beograd, Srbija"
Beograd,Rakovica,Dobrivoja Petkovića,165000,67.0,2462.69,"Rakovica, Petlovo brdo, Dobrivoja Petkovića, 2.0, 67m2, 165000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/rakovica-petlovo-brdo-dobrivoja-petkovica-20-67m2-165000eur/Nk0taC4aD7W/,"Rakovica, Beograd, Srbija"
Novi Sad,Podbara,N/A,130000,51.0,2549.02,"Novi Sad, Podbara, , 2.0, 51m2, 130000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-podbara-20-51m2-130000eur/NkIowkKC-gq/,"Podbara, Novi Sad, Srbija"
Beograd,Zemun (Centar),Vrtlarska,180000,65.0,2769.23,"Zemun, Centar, Vrtlarska, 2.0, 65m2, 180000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/zemun-centar-vrtlarska-20-65m2-180000eur/NkVjErzqzHp/,"Zemun (Centar), Beograd, Srbija"
Novi Sad,Telep,Bogdana Šuputa,140000,93.0,1505.38,"Novi Sad, Telep, Bogdana Šuputa, 4.5, 93m2, 140000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-telep-bogdana-suputa-45-93m2-140000eur/NknjeH18rVr/,"Telep, Novi Sad, Srbija"
Beograd,Borča III,Bele Bartoka,36000,20.0,1800.0,"Palilula, Borča 3, Bele Bartoka, 0.5, 20m2, 36000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/palilula-borca-3-bele-bartoka-05-20m2-36000eur/NkGYbkHMvzy/,"Borča III, Beograd, Srbija"
Novi Sad,Telep,Vršačka,129000,42.0,3071.43,"Novi Sad, Telep, Vršačka, 2.0, 42m2, 129000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-telep-vrsacka-20-42m2-129000eur/NkzbUPKmJMX/,"Telep, Novi Sad, Srbija"
Beograd,Rakovica,Miloša Bogićevića,146000,67.0,2179.1,"Rakovica, Kneževac, Miloša Bogićevića, 2.5, 67m2, 146000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/rakovica-knezevac-milosa-bogicevica-25-67m2-146000eur/Nk7_ymoNbw6/,"Rakovica, Beograd, Srbija"
Beograd,Medaković I,Rastka Petrovića,70000,25.0,2800.0,"Voždovac, Medaković, Rastka Petrovića, 0.5, 25m2, 70000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/vozdovac-medakovic-rastka-petrovica-05-25m2-70000eur/NkZbt2d7WlA/,"Medaković I, Beograd, Srbija"
Kopaonik,N/A,N/A,54000,36.0,1500.0,"Kopaonik, Kraljevi čardaci, , 1.0, 36m2, 54000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/kopaonik-kraljevi-cardaci-10-36m2-54000eur/NkZA_3Ruyjh/,"Kopaonik, Srbija"
Beograd,Zvezdara,Bulevar kralja Aleksandra,110000,80.0,1375.0,"Zvezdara, Mali Mokri Lug, Bulevar kralja Aleksandra, 3.0, 80m2, 110000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/zvezdara-mali-mokri-lug-bulevar-kralja-aleksandra-30-80m2-110000eur/NkgmDNsv8hN/,"Zvezdara, Beograd, Srbija"
Novi Sad,Sajam,Stjepana Mitrova Ljubiše,62350,16.0,3896.88,"Novi Sad, Sajam, Stjepana Mitrova Ljubiše, 0.5, 16m2, 62350EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-sajam-stjepana-mitrova-ljubise-05-16m2-62350eur/NkMgolBuhLj/,"Sajam, Novi Sad, Srbija"
Beograd,Stari Grad,Čika Ljubina,439000,73.0,6013.7,"Stari grad, Knez Mihailova, Čika Ljubina, 3.0, 73m2, 439000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/stari-grad-knez-mihailova-cika-ljubina-30-73m2-439000eur/NkPzqPBwkge/,"Stari Grad, Beograd, Srbija"
Beograd,Voždovac,Jovana Bijelića,195000,71.0,2746.48,"Voždovac, Braće Jerković, Jovana Bijelića, 3.0, 71m2, 195000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/vozdovac-brace-jerkovic-jovana-bijelica-30-71m2-195000eur/Nk70ZNzVkG-/,"Voždovac, Beograd, Srbija"
Novi Sad,Novo Naselje,N/A,135700,59.0,2300.0,"Novi Sad, Novo Naselje, , 3.0, 59m2, 135700EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-novo-naselje-30-59m2-135700eur/Nk2qRDjaZaS/,"Novo Naselje, Novi Sad, Srbija"
Novi Sad,Centar,Vojvode Mišića,262500,75.0,3500.0,"Novi Sad, Centar, Vojvode Mišića, 3.0, 75m2, 262500EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-centar-vojvode-misica-30-75m2-262500eur/NkTCyswOd0q/,"Centar, Novi Sad, Srbija"
Beograd,Vračar (Centar),N/A,355000,61.0,5819.67,"Vračar, Hram Svetog Save, , 2.0, 61m2, 355000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/vracar-hram-svetog-save-20-61m2-355000eur/Nk0Nz91jXMK/,"Vračar (Centar), Beograd, Srbija"
Novi Sad,N/A,N/A,213000,71.0,3000.0,"Novi Sad, Sremska Kamenica, , 3.0, 71m2, 213000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-sremska-kamenica-30-71m2-213000eur/NkV-bL210Tf/,"Novi Sad, Srbija"
Novi Sad,Novo Naselje,Slobodana Selenića,275000,90.0,3055.56,"Novi Sad, Novo Naselje, Slobodana Selenića, 3.5, 90m2, 275000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-novo-naselje-slobodana-selenica-35-90m2-275000eur/NkvEEUV9sJ6/,"Novo Naselje, Novi Sad, Srbija"
Novi Sad,Podbara,Bele njive,285000,129.0,2209.3,"Novi Sad, Podbara, Bele njive, 3.0, 129m2, 285000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-podbara-bele-njive-30-129m2-285000eur/NkDo7TId7Yz/,"Podbara, Novi Sad, Srbija"
Novi Sad,Gagarinova,N/A,120000,70.0,1714.29,"Novi Sad, Banatić, Gagarinova, 3.0, 70m2, 120000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-banatic-gagarinova-30-70m2-120000eur/NkAGTnyhv3a/,"Novi Sad, Srbija"
Novi Sad,Centar,Zmaj Jovina,56500,30.0,1883.33,"Novi Sad, Centar, Zmaj Jovina, 0.5, 30m2, 56500EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-centar-zmaj-jovina-05-30m2-56500eur/NkWnLPKgqAG/,"Centar, Novi Sad, Srbija"
Beograd,Mirijevo I,Rudi Čajaveca,133000,70.0,1900.0,"Zvezdara, Mirijevo, Rudi Čajaveca, 2.5, 70m2, 133000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/zvezdara-mirijevo-rudi-cajaveca-25-70m2-133000eur/NkFfIeRcStN/,"Mirijevo I, Beograd, Srbija"
Novi Sad,Telep,Somborska,151200,63.0,2400.0,"Novi Sad, Telep, Somborska, 3.0, 63m2, 151200EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-telep-somborska-30-63m2-151200eur/NkIth8-Ilw2Z/,"Telep, Novi Sad, Srbija"
Novi Sad,Podbara,Jug Bogdana,71000,24.0,2958.33,"Novi Sad, Podbara, Jug Bogdana, 0.5, 24m2, 71000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-podbara-jug-bogdana-05-24m2-71000eur/NkpoipBZLts/,"Podbara, Novi Sad, Srbija"
Beograd,Medaković I,Medakovićeva,95000,62.0,1532.26,"Voždovac, Medaković, Medakovićeva, 3.0, 62m2, 95000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/vozdovac-medakovic-medakoviceva-30-62m2-95000eur/NkZttc2MAFR/,"Medaković I, Beograd, Srbija"
Novi Sad,Sajam,Rumenačka,205000,99.0,2070.71,"Novi Sad, Sajam, Rumenačka, 4.0, 99m2, 205000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-sajam-rumenacka-40-99m2-205000eur/Nkg6hu1etMe/,"Sajam, Novi Sad, Srbija"
Novi Sad,Grbavica,N/A,93000,36.0,2583.33,"Novi Sad, Grbavica, , 1.5, 36m2, 93000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-grbavica-15-36m2-93000eur/Nk0UF6SqsuJ/,"Grbavica, Novi Sad, Srbija"
Novi Sad,Sajam,Rumenačka,247000,95.0,2600.0,"Novi Sad, Sajam, Rumenačka, 3.0, 95m2, 247000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-sajam-rumenacka-30-95m2-247000eur/NkgikUxtn7M/,"Sajam, Novi Sad, Srbija"
Beograd,Vojvode Mišića,N/A,90000,70.0,1285.71,"Obrenovac, Obrenovac (mesto), Vojvode Mišića, 3.0, 70m2, 90000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/obrenovac-obrenovac-mesto-vojvode-misica-30-70m2-90000eur/NkQt32R0IDf/,"Beograd, Srbija"
Beograd,N/A,N/A,103000,71.0,1450.7,"Mladenovac, Mladenovac (mesto), , 3.0, 71m2, 103000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/mladenovac-mladenovac-mesto-30-71m2-103000eur/NkiO8N2Npq2/,"Beograd, Srbija"
Beograd,Bežanijska kosa I,Vojvođanska,236192,67.0,3525.25,"Novi Beograd, Bežanijska kosa, Vojvođanska, 2.5, 67m2, 236192EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-beograd-bezanijska-kosa-vojvodanska-25-67m2-236192eur/NknDKg2Nbqy/,"Bežanijska kosa I, Beograd, Srbija"
Novi Sad,Bulevar,Bulevar oslobođenja,169265,64.0,2644.77,"Novi Sad, Bulevar Oslobođenja, Bulevar oslobođenja, 2.5, 64m2, 169265EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-bulevar-oslobodenja-bulevar-oslobodenja-25-64m2-169265eur/NkpCsyGcCHc/,"Bulevar, Novi Sad, Srbija"
Novi Sad,Jablanova,N/A,250800,95.0,2640.0,"Novi Sad, Sremska Kamenica, Jablanova, 4.0, 95m2, 250800EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-sremska-kamenica-jablanova-40-95m2-250800eur/NkPJFaZL5XB/,"Novi Sad, Srbija"
Novi Sad,N/A,N/A,224400,85.0,2640.0,"Novi Sad, Sremska Kamenica, , 4.0, 85m2, 224400EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-sremska-kamenica-40-85m2-224400eur/NkEcgfOO1-B/,"Novi Sad, Srbija"
Novi Sad,N/A,N/A,154000,56.0,2750.0,"Novi Sad, Sremska Kamenica, , 3.0, 56m2, 154000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-sremska-kamenica-30-56m2-154000eur/NkgePyVAalj/,"Novi Sad, Srbija"
Novi Sad,Detelinara nova,Janka Čmelika,161000,58.0,2775.86,"Novi Sad, Nova Detelinara, Janka Čmelika, 2.5, 58m2, 161000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-nova-detelinara-janka-cmelika-25-58m2-161000eur/NkzpL9TyQqo/,"Detelinara nova, Novi Sad, Srbija"
Novi Sad,Novo Naselje,Seljačkih buna,95000,37.0,2567.57,"Novi Sad, Novo Naselje, Seljačkih buna, 1.5, 37m2, 95000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-novo-naselje-seljackih-buna-15-37m2-95000eur/NkrX337JloH/,"Novo Naselje, Novi Sad, Srbija"
Novi Sad,Telep,Kotorska,278300,121.0,2300.0,"Novi Sad, Telep, Kotorska, 4.0, 121m2, 278300EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-telep-kotorska-40-121m2-278300eur/NkRFuyM0Pwx/,"Telep, Novi Sad, Srbija"
Novi Sad,Centar,Vojvode Mišića,73000,21.0,3476.19,"Novi Sad, Centar, Vojvode Mišića, 0.5, 21m2, 73000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-centar-vojvode-misica-05-21m2-73000eur/NkXA95RCmH_/,"Centar, Novi Sad, Srbija"
Beograd,Vračar (Centar),Kumanovska,485000,105.0,4619.05,"Vračar, Krunska, Kumanovska, 4.0, 105m2, 485000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/vracar-krunska-kumanovska-40-105m2-485000eur/NkVgL2-zhm6/,"Vračar (Centar), Beograd, Srbija"
Novi Sad,Liman 3,Narodnog fronta,226200,78.0,2900.0,"Novi Sad, Liman 3, Narodnog fronta, 3.0, 78m2, 226200EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-liman-3-narodnog-fronta-30-78m2-226200eur/NkCDvIDrkzH/,"Liman 3, Novi Sad, Srbija"
Beograd,Voždovac,Torlačka,145000,47.0,3085.11,"Voždovac, Braće Jerković, Torlačka, 1.5, 47m2, 145000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/vozdovac-brace-jerkovic-torlacka-15-47m2-145000eur/NkdpXsKkZTF/,"Voždovac, Beograd, Srbija"
Novi Sad,Salajka,Kisačka,57000,21.0,2714.29,"Novi Sad, Salajka, Kisačka, 0.5, 21m2, 57000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-salajka-kisacka-05-21m2-57000eur/Nkbqc6svRaN/,"Salajka, Novi Sad, Srbija"
Beograd,Vidikovac,Vidikovački venac,239000,119.0,2008.4,"Rakovica, Vidikovac, Vidikovački venac, 4.0, 119m2, 239000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/rakovica-vidikovac-vidikovacki-venac-40-119m2-239000eur/NkYFErnNDU2/,"Vidikovac, Beograd, Srbija"
Novi Sad,Centar,N/A,67000,23.0,2913.04,"Novi Sad, Centar, , 0.5, 23m2, 67000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-centar-05-23m2-67000eur/Nk6v0cYJAQ0/,"Centar, Novi Sad, Srbija"
Novi Sad,Adice,Branka Ćopića,50000,28.0,1785.71,"Novi Sad, Adice, Branka Ćopića, 0.5, 28m2, 50000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-adice-branka-copica-05-28m2-50000eur/NkP-f4NBskx/,"Adice, Novi Sad, Srbija"
Beograd,Novi Beograd Blok 9,Džona Kenedija,465000,82.0,5670.73,"Novi Beograd, Blok 9, Džona Kenedija, 3.0, 82m2, 465000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-beograd-blok-9-dzona-kenedija-30-82m2-465000eur/Nkm2osDZHkg/,"Novi Beograd Blok 9, Beograd, Srbija"
Beograd,Karaburma,N/A,125000,72.0,1736.11,"Palilula, Karaburma, , 3.0, 72m2, 125000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/palilula-karaburma-30-72m2-125000eur/Nk4fDCWJBDR/,"Karaburma, Beograd, Srbija"
Novi Sad,Centar,Železnička,140000,42.0,3333.33,"Novi Sad, Centar, Železnička, 1.5, 42m2, 140000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-centar-zeleznicka-15-42m2-140000eur/Nku4UhOxC6m/,"Centar, Novi Sad, Srbija"
Novi Sad,Detelinara nova,Hadži Ruvimova,189000,37.0,5108.11,"Novi Sad, Nova Detelinara, Hadži Ruvimova, 1.5, 37m2, 189000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-nova-detelinara-hadzi-ruvimova-15-37m2-189000eur/NkrsWDd0Mjc_/,"Detelinara nova, Novi Sad, Srbija"
Beograd,Mirijevo I,Zagrađe,60000,23.0,2608.7,"Zvezdara, Mirijevo, Zagrađe, 0.5, 23m2, 60000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/zvezdara-mirijevo-zagrade-05-23m2-60000eur/Nke0sh6PYtN/,"Mirijevo I, Beograd, Srbija"
Beograd,Novi Beograd Blok 64,Jurija Gagarina,490000,97.0,5051.55,"Novi Beograd, Blok 64, Jurija Gagarina, 4.0, 97m2, 490000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-beograd-blok-64-jurija-gagarina-40-97m2-490000eur/NkmqbE7EzIS/,"Novi Beograd Blok 64, Beograd, Srbija"
Beograd,Centar (uži),Marsala Birjuzova,370000,72.0,5138.89,"Stari grad, Obilićev venac, Marsala Birjuzova, 3.0, 72m2, 370000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/stari-grad-obilicev-venac-marsala-birjuzova-30-72m2-370000eur/NknPVE0kq24/,"Centar (uži), Beograd, Srbija"
Novi Sad,Telep,Ćirila i Metodija,299200,136.0,2200.0,"Novi Sad, Telep, Ćirila i Metodija, 5.0, 136m2, 299200EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-telep-cirila-i-metodija-50-136m2-299200eur/Nk657u0ziTZ/,"Telep, Novi Sad, Srbija"
Novi Sad,Telep,Heroja Pinkija,219950,83.0,2650.0,"Novi Sad, Telep, Heroja Pinkija, 4.0, 83m2, 219950EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-telep-heroja-pinkija-40-83m2-219950eur/NkCUdmcSdoC/,"Telep, Novi Sad, Srbija"
Novi Sad,Telep,Heroja Pinkija,117500,47.0,2500.0,"Novi Sad, Telep, Heroja Pinkija, 2.5, 47m2, 117500EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-telep-heroja-pinkija-25-47m2-117500eur/NkG_VhXAWgL/,"Telep, Novi Sad, Srbija"
Novi Sad,Centar,Vojvode Mišića,297500,85.0,3500.0,"Novi Sad, Centar, Vojvode Mišića, 3.0, 85m2, 297500EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-centar-vojvode-misica-30-85m2-297500eur/NkXEI7BonoM/,"Centar, Novi Sad, Srbija"
Novi Sad,Bulevar,N/A,125000,39.0,3205.13,"Novi Sad, Bulevar Oslobođenja, , 2.0, 39m2, 125000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-bulevar-oslobodenja-20-39m2-125000eur/NkB47tWuC8k/,"Bulevar, Novi Sad, Srbija"
Beograd,Voždovac,Maksima Gorkog,232000,48.0,4833.33,"Voždovac, Dušanovac, Maksima Gorkog, 2.0, 48m2, 232000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/vozdovac-dusanovac-maksima-gorkog-20-48m2-232000eur/NkGY2LR329L/,"Voždovac, Beograd, Srbija"
Beograd,Centar (uži),Dobračina,389000,80.0,4862.5,"Stari grad, Trg Republike, Dobračina, 3.0, 80m2, 389000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/stari-grad-trg-republike-dobracina-30-80m2-389000eur/NkCI4Q5VTI0/,"Centar (uži), Beograd, Srbija"
Novi Sad,Telep,Milana Savića,179500,69.0,2601.45,"Novi Sad, Telep, Milana Savića, 3.0, 69m2, 179500EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-telep-milana-savica-30-69m2-179500eur/NkSQ6Dh2OLW/,"Telep, Novi Sad, Srbija"
Novi Sad,N/A,N/A,175000,85.0,2058.82,"Novi Sad, Somborski bulevar, , 3.5, 85m2, 175000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-somborski-bulevar-35-85m2-175000eur/Nk100Io6nFr/,"Novi Sad, Srbija"
Beograd,Vračar (Centar),N/A,299000,83.0,3602.41,"Vračar, Hram Svetog Save, , 3.0, 83m2, 299000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/vracar-hram-svetog-save-30-83m2-299000eur/NkIJojOD2SV/,"Vračar (Centar), Beograd, Srbija"
Novi Sad,Centar,Dunavska,95000,30.0,3166.67,"Novi Sad, Centar, Dunavska, 0.5, 30m2, 95000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-centar-dunavska-05-30m2-95000eur/NkKZwWT9fKn/,"Centar, Novi Sad, Srbija"
Novi Sad,Telep,Presernova,180000,72.0,2500.0,"Novi Sad, Telep, Presernova, 3.0, 72m2, 180000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-telep-presernova-30-72m2-180000eur/Nkk8tGbD0qU/,"Telep, Novi Sad, Srbija"
Beograd,Medaković I,Rastka Petrovića,220000,119.0,1848.74,"Voždovac, Medaković, Rastka Petrovića, 5.0, 119m2, 220000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/vozdovac-medakovic-rastka-petrovica-50-119m2-220000eur/Nk1hj_w0X-W/,"Medaković I, Beograd, Srbija"
Beograd,Višnjička banja,Dragana Lukića,175000,60.0,2916.67,"Palilula, Višnjička Banja, , 2.0, 60m2, 175000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/palilula-visnjicka-banja-20-60m2-175000eur/NkmdaQKeMXq/,"Višnjička banja, Beograd, Srbija"
Novi Sad,Beogradski kej,N/A,91500,19.0,4815.79,"Novi Sad, Kej, Beogradski kej, 0.5, 19m2, 91500EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-kej-beogradski-kej-05-19m2-91500eur/NkqtKwDDznn/,"Novi Sad, Srbija"
Beograd,Dr Agostina Neta,N/A,240000,62.0,3870.97,"Novi Beograd, Blok 70a, Dr Agostina Neta, 2.0, 62m2, 240000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-beograd-blok-70a-dr-agostina-neta-20-62m2-240000eur/Nkeand7Z6Q4/,"Beograd, Srbija"
Beograd,Centar (uži),Primorska,118400,32.0,3700.0,"Palilula, Hadžipopovac, Primorska, 2.0, 32m2, 118400EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/palilula-hadzipopovac-primorska-20-32m2-118400eur/NklT2P9-ar-/,"Centar (uži), Beograd, Srbija"
Novi Sad,Novo Naselje,Tozin Sokak,73500,31.0,2370.97,"Novi Sad, Novo Naselje, Tozin Sokak, 1.0, 31m2, 73500EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-novo-naselje-tozin-sokak-10-31m2-73500eur/Nke9nYNIkpg/,"Novo Naselje, Novi Sad, Srbija"
Beograd,Zvezdara,Vojvode Bogdana,595000,135.0,4407.41,"Zvezdara, Vukov Spomenik, Vojvode Bogdana, 4.0, 135m2, 595000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/zvezdara-vukov-spomenik-vojvode-bogdana-40-135m2-595000eur/NkdEYXjJHUV/,"Zvezdara, Beograd, Srbija"
Beograd,Centar (uži),Jug Bogdanova,74000,20.0,3700.0,"Stari grad, Zeleni venac, Jug Bogdanova, 0.5, 20m2, 74000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/stari-grad-zeleni-venac-jug-bogdanova-05-20m2-74000eur/Nkg5bqlxbL0/,"Centar (uži), Beograd, Srbija"
